,l,summ
0,30,0.0
1,30,10.335425560099939
2,30,0.13476940059055842
3,30,3.73035657651531
4,30,3.0731894836262845
5,30,3.146893793083428
6,30,3.141298159414217
7,30,3.1416049743624863
8,30,3.141592251076084
9,30,3.1415926641478062
10,30,3.1415926533624767
11,30,3.141592653593883
12,30,3.1415926535897305
13,30,3.1415926535897936
14,30,3.1415926535897927
15,30,3.1415926535897927
16,30,3.1415926535897927
17,30,3.1415926535897927
18,30,3.1415926535897927
19,30,3.1415926535897927
20,30,3.1415926535897927
21,30,3.1415926535897927
22,30,3.1415926535897927
23,30,3.1415926535897927
24,30,3.1415926535897927
25,30,3.1415926535897927
26,30,3.1415926535897927
27,30,3.1415926535897927
28,30,3.1415926535897927
29,30,3.1415926535897927
